1	우가킹	빛	300	0	1	1	1	1
2	덕또	빛	300	0	1	1	1	1
3	마우또	빛	300	0	1	1	1	1
4	렙또	빛	300	0	1	1	1	1
5	렛또	빛	300	0	1	1	1	1
6	우가킹	빛	300	0	1	1	1	1
7	덕또	빛	300	0	1	1	1	1
8	마우또	빛	300	0	1	1	1	1
9	렙또	빛	300	0	1	1	1	1
10	렛또	빛	300	0	1	1	1	1
11	우가킹	빛	300	0	1	1	1	1
12	덕또	빛	300	0	1	1	1	1
13	마우또	빛	300	0	1	1	1	1
14	렙또	빛	300	0	1	1	1	1
15	렛또	빛	300	0	1	1	1	1
16	우가킹	빛	300	0	1	1	1	1
17	덕또	빛	300	0	1	1	1	1
18	마우또	빛	300	0	1	1	1	1
19	렙또	빛	300	0	1	1	1	1
20	렛또	빛	300	0	1	1	1	1
21	우가킹	빛	300	0	1	1	1	1
22	덕또	빛	300	0	1	1	1	1
23	마우또	빛	300	0	1	1	1	1
24	렙또	빛	300	0	1	1	1	1
25	렛또	빛	300	0	1	1	1	1
26	우가킹	빛	300	0	1	1	1	1
27	덕또	빛	300	0	1	1	1	1
28	마우또	빛	300	0	1	1	1	1
29	렙또	빛	300	0	1	1	1	1
30	렛또	빛	300	0	1	1	1	1
31	우가킹	빛	300	0	1	1	1	1
32	덕또	빛	300	0	1	1	1	1
33	마우또	빛	300	0	1	1	1	1
34	렙또	빛	300	0	1	1	1	1
35	렛또	빛	300	0	1	1	1	1
36	우가킹	빛	300	0	1	1	1	1
37	덕또	빛	300	0	1	1	1	1
38	마우또	빛	300	0	1	1	1	1
39	렙또	빛	300	0	1	1	1	1
40	렛또	빛	300	0	1	1	1	1
41	우가킹	빛	300	0	1	1	1	1
42	덕또	빛	300	0	1	1	1	1
43	마우또	빛	300	0	1	1	1	1
44	렙또	빛	300	0	1	1	1	1
45	렛또	빛	300	0	1	1	1	1
46	우가킹	빛	300	0	1	1	1	1
47	덕또	빛	300	0	1	1	1	1
48	마우또	빛	300	0	1	1	1	1
49	렙또	빛	300	0	1	1	1	1
50	렛또	빛	300	0	1	1	1	1
51	우가킹	빛	300	0	1	1	1	1
52	덕또	빛	300	0	1	1	1	1
53	마우또	빛	300	0	1	1	1	1
54	렙또	빛	300	0	1	1	1	1
55	렛또	빛	300	0	1	1	1	1
56	우가킹	빛	300	0	1	1	1	1
57	덕또	빛	300	0	1	1	1	1
58	마우또	빛	300	0	1	1	1	1
59	렙또	빛	300	0	1	1	1	1
60	렛또	빛	300	0	1	1	1	1
61	우가킹	빛	300	0	1	1	1	1
62	덕또	빛	300	0	1	1	1	1
63	마우또	빛	300	0	1	1	1	1
64	렙또	빛	300	0	1	1	1	1
65	렛또	빛	300	0	1	1	1	1
66	우가킹	빛	300	0	1	1	1	1
67	덕또	빛	300	0	1	1	1	1
68	마우또	빛	300	0	1	1	1	1
69	렙또	빛	300	0	1	1	1	1
70	렛또	빛	300	0	1	1	1	1
71	우가킹	빛	300	0	1	1	1	1
72	덕또	빛	300	0	1	1	1	1
73	마우또	빛	300	0	1	1	1	1
74	렙또	빛	300	0	1	1	1	1
75	렛또	빛	300	0	1	1	1	1
76	우가킹	빛	300	0	1	1	1	1
77	덕또	빛	300	0	1	1	1	1
78	마우또	빛	300	0	1	1	1	1
79	렙또	빛	300	0	1	1	1	1
80	렛또	빛	300	0	1	1	1	1
81	우가킹	빛	300	0	1	1	1	1
82	덕또	빛	300	0	1	1	1	1
83	마우또	빛	300	0	1	1	1	1
84	렙또	빛	300	0	1	1	1	1
85	렛또	빛	300	0	1	1	1	1
86	우가킹	빛	300	0	1	1	1	1
87	덕또	빛	300	0	1	1	1	1
88	마우또	빛	300	0	1	1	1	1
89	렙또	빛	300	0	1	1	1	1
90	렛또	빛	300	0	1	1	1	1
91	우가킹	빛	300	0	1	1	1	1
92	덕또	빛	300	0	1	1	1	1
93	마우또	빛	300	0	1	1	1	1
94	렙또	빛	300	0	1	1	1	1
95	렛또	빛	300	0	1	1	1	1
96	우가킹	빛	300	0	1	1	1	1
97	덕또	빛	300	0	1	1	1	1
98	마우또	빛	300	0	1	1	1	1
99	렙또	빛	300	0	1	1	1	1
100	렛또	빛	300	0	1	1	1	1
101	우가킹	빛	300	0	1	1	1	1
